Vertical 1,Vertical 2,Noticia (link),Etiqueta,Etiqueta específica,etiqueta 3,Región,Personalidad destacada,...9,Fecha,Diario,Si,Me gusta,Simpatía,Asombro,Diversión,Descreimiento,Tristeza,Enojo,Me importa,Likes,Comentarios...22,Compartidos,Interacciones,Cuerpo del Post,Cuerpo de la noticia,Comentarios...27,Link del comentario
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0WN1M36Yb4QssMTSRe1hw9hfKTKu71hd8Mw7ceD3k21zZZnpueaFxfyoKEGbC9u7jl,Accidente ,Prendió la hornalla y murió calcinado,Alta Gracia,Provincial,,,21/7/2022,ElDoceTv,Si,258,3,162,0,2,873,4,1,,59,66,1428,"Trágico desenlace
La víctima tenía 84 años. Su esposa estaba en la habitación y cuando se asomó a la cocina lo encontró totalmente calcinado.","Quiso prender la hornalla y por una pérdida de gas murió calcinado en Alta Gracia
La tragedia ocurrió en una casa frente a la Plaza de los Inmigrantes en Barrio Norte. La víctima tenía 84 años.
Por: El DoceJueves 21 de Julio de 2022
hombre-calcinado-alta-gracia
La vivienda donde ocurrió el hecho. Foto: Andy Ferreyra/ElDoce.
Tragedia en una vivienda de Alta Gracia. Un hombre de 84 años murió calcinado mientras intentaba prender la hornalla de la cocina. Una importante fuga de gas fue lo que desató el fuego.

La víctima fue identificado como apellido Maglione, que vivía junto a su esposa en la calle Ferrer Moratel frente a la Plaza de los Inmigrantes, en Barrio Norte.

Según confirmó un comisario policial, la esposa del hombre fue quien dio aviso a los bomberos. Sintió un fuerte olor a humo desde su habitación y cuando se asomó a la cocina encontró a su marido totalmente calcinado y muerto.

+ MIRÁ MÁS: Se incendió una planta de gas y hubo heridos: los videos

Las llamas alcanzaron solamente la zona de la cocina, por lo que el resto de la casa no sufrió consecuencias del fuego. Por su parte, la mujer tampoco resultó lesionada. 

Una vecina de la cuadra relató al medio AG Noticias que la Policía tuvo que comunicarse con una hija del matrimonio porque no podían entrar a la vivienda.

Los oficiales finalmente lograron ingresar y encontraron al hombre tirado en el suelo de la cocina, ya sin signos vitales. 

",,
Random,,https://www.instagram.com/p/CgR73YWMMob/,Animales,Día Mundial del Perro,,Internacional,,,21/7/2022,Instagram-LaVoz,Si,,,,,,,,,488,9,,497,"En el Día Mundial del Perro, la mejor opción es adoptar. 😍

🐶 Recorrimos la #FundaciónGarra, cuyos voluntarios recogen perros de la calle, los cuidan y los dan en adopción.",,,
Random,,Random		https://www.instagram.com/p/CgR73YWMMob/	Animales	Día Mundial del Perro		Internacional			21/7/2022	Instagram-LaVoz	Si,Animales,Día Mundial del Perro,,Internacional,,,21/7/2022,Instagram-LaVoz,Si,,,,,,,,,1568,11,,1579,"Desde 2004, cada 21 de julio se celebra el #DíaMundialdelPerro en homenaje al animal considerado como “el mejor amigo del hombre”.

🐶 Se busca crear conciencia sobre la inmensa cantidad de canes que son abandonados a su suerte y carecen de refugio, pero no es la única fecha del año en la cuál celebramos a estos compañeros de cuatro patas.

Y vos, ¿en qué día festejas junto a tu amigo canino? 🐶 🎉

Etiquetá a quién sea más fan de los perros que nadie acá.",,,
Random,,https://www.instagram.com/p/CgSCZAFOPUB/,Animales,Día Mundial del Perro,,Internacional,,,21/7/2022,Instagram-LaVoz,Si,,,,,,,,,515,22,,537," Los #Perros son considerados 'los mejores amigos', y si hablamos de caninos no podemos evitar recordar grandes amigos de cuatro patas que hemos conocido a través de la pantalla grande (y chica).

🤗 Algunos inspirados en personajes reales, otros ficticios, si tenés que nombrar a un canino SEGURAMENTE uno de ellos se te viene a la mente.

¿A qué otro perro del cine o la televisión recordás? 🐶",,,
Salud,,https://www.facebook.com/Cadena3Argentina/posts/pfbid0p85PefCsSbvR4k8x83d33Gk9RKsg3PHV6AmyF48ftSLEuPoQw4Utt9UcvvvB8J18l,Casos,Joe Biden tiene coronavirus,,Internacional,Joe Biden,,21/7/2022,Cadena 3,Si,32,0,0,0,22,0,0,0,,0,30,84,"Estados Unidos
El mandatario, de 79 años, tiene ""síntomas muy leves"". Estaba tomando Paxlovid, la pastilla anticovid de Pfizer http://ow.ly/gBsb50K1unI","Joe Biden tiene coronavirus y asegura estar ""muy bien""
El mandatario, de 79 años, tiene ""síntomas muy leves"" y se encuentra aislado en la Casa Blanca. Los médicos le recomendaron Paxlovid, la pastilla anticovid de Pfizer. 

22/07/2022 | 09:00

Redacción Cadena 3

  

AUDIO: Joe Biden tiene coronavirus y asegura estar ""muy bien""

‹›

El presidente estadounidense, Joe Biden, afirmó estar ""muy bien"" y mantenerse ""ocupado"", tras darse a conocer que había contraído coronavirus.

""Amigos míos, estoy muy bien. ¡Sigo ocupado!"", tuiteó Biden, luego de que la Casa Blanca anunciara que había dado positivo en coronavirus y que tenía síntomas ""muy leves"".

El mandatario acompañó su publicación con una foto en la que se lo puede ver sonriendo, con saco y camisa pero sin corbata, en una oficina de la Casa Blanca, con una birome en la mano y teléfonos móviles, papeles y una botella de agua sobre su escritorio. 


Biden, de 79 años, que nunca había tenido coronavirus, dio positivo hoy mismo y se aislará en la Casa Blanca hasta dar negativo, dijo su vocera, Karine Jean-Pierre, en un comunicado.

Su médico, Kevin O'Connor, dijo que el presidente, siguiendo el protocolo de detección rutinario, primero dio positivo a una prueba de antígenos y un PCR confirmó el resultado.

Según el médico, presenta estos síntomas desde el miércoles por la noche: ""mocos"", ""cansancio"" y ""tos seca ocasional"".


El presidente demócrata estaba tomando Paxlovid, la pastilla anticovid de Pfizer, prosiguió el texto, sin estimar cuánto tiempo podría estar aislado, informó la agencia de noticias AFP.

Biden está totalmente vacunado y recibió dos dosis de refuerzo, y ""seguirá asumiendo todas sus funciones"" durante este tiempo, agregó.

Su esposa, Jill Biden, dijo que ella dio negativo. ""Hablé con él hace unos minutos. Está bien, se siente bien"", contó a los periodistas durante un viaje a Michigan.

El presidente, que quiere hacer campaña para las elecciones legislativas de medio mandato de noviembre, tenía previsto viajar este jueves a Pensilvania y el lunes a Florida pero tuvo que anular sus desplazamientos.

La vicepresidenta Kamala Harris, que tuvo Covid-19 en abril, dio negativo el jueves, según su oficina.

La Casa Blanca se comprometió a informar ""todos los días"" sobre el estado de salud de Biden, que según un reconocimiento médico de noviembre está ""fuerte"" y es ""apto"" para ejercer sus funciones.

La última prueba de coronavirus de Biden que dio negativa se remonta al martes, a su vuelta de una gira la semana pasada por Israel y Arabia Saudita, dijo su portavoz.

Estados Unidos registra actualmente unos 130.000 nuevos casos de coronavirus por día, una cifra subestimada según los expertos, y el número de hospitalizaciones aumenta. La subvariante BA.5 de ómicron, altamente contagiosa, es dominante en el país, donde representa alrededor del 80% de los casos.

El Paxlovid que toma Biden es un tratamiento antiviral que disminuye la capacidad del virus para replicarse, frenando así la progresión de la enfermedad. Para ser eficaz debe tomarse los primeros días tras la aparición de los síntomas.

En Estados Unidos se recomienda para personas con riesgo de desarrollar un caso grave de la enfermedad, una categoría en la que entra el presidente por su edad.

Muchos republicanos dejaron de lado sus críticas.

""Lamento enterarme de que el presidente Biden dio positivo por Covid-19. Le deseo que se recupere pronto"", tuiteó el líder de los senadores republicanos, Mitch McConnell. ",,
Salud,,pfbid05jRrZzrh4JAkP6ibj9LF8iRTbH7ZdgM596ZJBzTKTPbcejnbDgqKUnzSmouG7hi4l,Casos,Síntomas covid-19,,Provincial,,,21/7/2022,La Voz del Interior,Si,283,0,49,0,131,11,3,1,,176,144,798," “Hoy vemos más cuadros gripales, esto es congestión nasal, dolor de cabeza, de garganta, decaimiento y dolor muscular”, señaló un infectólogo."," Dolor de cabeza, de garganta y mocos, los síntomas actualmente más frecuentes de Covid en Argentina
Hisopados en el ex Registro Civil de avenida Colón. (Nicolás Bravo / La Voz)
Hisopados en el ex Registro Civil de avenida Colón. (Nicolás Bravo / La Voz)
LO MÁS LEÍDO
Papá y mamá se las ingeniaron para darle a su hijo lo que pedía para las vacaciones de invierno. (Villa María Ya)
VIRAL
Ingenio de papá y mamá: su hijo les pidió una “Big Mac”, no la podían comprar y así lo resolvieron
1
Foto: captura pantalla
TV
Luciana Salazar finalmente contó la verdad detrás de su hija y el vínculo con Martín Redrado
2
Quini 6
CIUDADANOS
Quini 6: sorteo 2.977 de hoy miércoles 20 de julio, los números ganadores
3
Julián Vignolo
FÚTBOL
Tiene 15 años, es el goleador de inferiores y ya lo subieron al plantel profesional de Racing de Nueva Italia
4
Feriados 2022: ¿Cuántos fines de semana largos tendrá el calendario?
CIUDADANOS
Feriados 2022: el calendario completo
5
“Hoy vemos más cuadros gripales, esto es congestión nasal, dolor de cabeza, de garganta, decaimiento y dolor muscular”, señaló un infectólogo.

Télam
Viernes, 22 de julio de 202200:08 hs

Congestión nasal, dolor de cabeza y de garganta, son los síntomas actualmente más frecuentes de las personas con coronavirus en la Argentina, coincidieron hoy especialistas quienes señalaron que esto se da en consonancia con lo que sucede en el resto del mundo, donde la falta de olfato y gusto ya no aparecen de forma tan común.

“Lo que estamos viendoaes que los casos de Covid-19 ahora son muy diferentes a lo que veíamos al principio, incluso a los del año pasado. Hoy vemos más cuadros gripales, esto es congestión nasal, dolor de cabeza, de garganta, decaimiento y dolor muscular”, señaló el médico infectólogo Martín Hojman del Hospital Rivadavia de la ciudad de Buenos Aires.

Para Hojman, “hay una menor incidencia sobre las vías respiratorias bajas o sea sobre el pulmón”, aunque señaló que “frente a este tipo de cuadros que no se presentan grave, las personas consultan mucho menos”.

En el mismo sentido, la médica infectóloga Elena Obieta, integrante de la Sociedad Argentina de Infectología (SADI), destacó que “producto de las vacunas ya no vemos esos pacientes que ingresaban con insuficiencia respiratoria, iban a terapia y muchos de ellos se morían”.

Obieta indicó que ahora también se presentan menos casos de personas con Covid que tienen manifestaciones en la piel.

Joe Biden.
El presidente Joe Biden dio positivo d", ,
Política,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid0HCQjuH5VjpiU2q4HP9u9jmEMVsgbDc94GJCzSMYUnzpnW1gBbmbojirbYpN1nkrnl,Críticas al Oficialismo,Santi Maratea contra los Kirchner,,Nacional,Maximo Kirchner - Santiago Maratea,,21/7/2022,La Voz del Interior,Si,1400,325,11,0,51,2,16,9,,674,197,2685," 😮💸 Santiago Maratea se expresó en sus redes sociales y en ella apuntó contra la familia Kirchner, previo al lanzamiento de una nueva colecta solidaria que se dispone a encarar. 
💸🚫 El influencer manifestó que tiene miedo de no cumplir con el objetivo porque “en Argentina no hay un mango” y reflexionó sobre el valor del dinero.
¿Qué te parecen los dichos del influencer?
#SantiMaratea #NestorKirchner #MaximoKirchner #Cristina #Kirchner #Fortuna #Instagram #Twitter"," 😮💸 Santiago Maratea se expresó en sus redes sociales y en ella apuntó contra la familia Kirchner, previo al lanzamiento de una nueva colecta solidaria que se dispone a encarar. 
💸🚫 El influencer manifestó que tiene miedo de no cumplir con el objetivo porque “en Argentina no hay un mango” y reflexionó sobre el valor del dinero.
¿Qué te parecen los dichos del influencer?
#SantiMaratea #NestorKirchner #MaximoKirchner #Cristina #Kirchner #Fortuna #Instagram #Twitter", ,
Política,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid0HdXbwtffG8oduH8V2hD2eCLoh5hu5KgseYsUR17QhhepWHzsarjFp17W3dXJP9YVl,Críticas al Oficialismo,Santi Maratea contra los Kirchner,,Nacional,Maximo Kirchner - Santiago Maratea,,21/7/2022,La Voz del Interior,Si,216,49,0,0,10,1,3,3,,138,26,446," Previo al lanzamiento de una nueva colecta, el influencer mostró su preocupación por la crisis económica.
#PorSiTeLoPerdiste
"," Santi Maratea apuntó a los Kirchner: “¿Cómo ganó Máximo los $ 400 millones que tiene declarados?”
Santi Maratea en contra de los Kirchner.
Santi Maratea en contra de los Kirchner.
LO MÁS LEÍDO
Foto: captura pantalla
TV
Luciana Salazar finalmente contó la verdad detrás de su hija y el vínculo con Martín Redrado
1
El que era el restaurante del Hotel Yolanda vuelve a abrir sus puertas con nuevo nombre: Pietro.
COMER Y BEBER
El restaurante histórico que reabrió luego de dos años (y otras noticias de gastronomía)
2
La ley y el orden
TV
Asesinaron a un miembro del equipo de la “Ley y el orden” en pleno set
3
Fabián Cubero rompió el silencio y desautorizó a Mica Viciconte en su pelea con Nicole Neumann
TV
Fabián Cubero rompió el silencio y desautorizó a Mica Viciconte en su pelea con Nicole Neumann
4
Foto: captura pantalla.
MIRÁ
El posteo de Rodrigo De Paul tras la polémica con su ex que lo podría dejar sin Mundial
5
Previo al lanzamiento de una nueva colecta, el influencer mostró su preocupación por la crisis económica.

Redacción LAVOZ
Redacción LAVOZ
Jueves, 21 de julio de 202208:54 hs

Santiago Maratea se expresó en sus redes sociales y en ella apuntó contra la familia Kirchner, previo al lanzamiento de una nueva colecta solidaria que se dispone a encarar. “¿Cómo hizo Máximo los $400 millones que tiene declarados?”, dijo.

El influencer manifestó que tiene miedo de no cumplir con el objetivo porque “en Argentina no hay un mango” y reflexionó sobre el valor del dinero.”Ojalá que todo lo que está pasando no nos quite la idea, la creencia de que tenemos el poder para cambiar las cosas”, expresó en sus historias de Instagram.

Viral. Santi Maratea se solidarizó con Olga, una vecina a punto de ser desalojada por la Autovía de Punilla (Captura de pantalla)
Lo que se sabe sobre la vecina de Bialet Massé, Santi Maratea y el comunicado oficial sobre la autovía a Punilla
“Obvio que es difícil manejar la bronca de entender cómo los gobernantes de nuestro país se llenan los bolsillos de plata a través de la corrupción y a costa del trabajo de todos los argentinos. Primero está la bronca de que nos roben y después la desesperanza de ver cómo hay gente que todavía defiende a los ladrones cuando ya es evidente que son ladrones y que viven a costa de nuestra plata”, sentenció indignado.

A modo de ejemplo habló de Máximo Kirchner: “El hijo de Cristina tiene declarados 400 millones de pesos. ¿Cómo los hizo? Lo que te va a decir un kirchnerista es que es la herencia de Néstor...”.

LA QUEJA DE SANTI MARATEA CONTRA LA FAMILIA KIRCHNER
“¿La herencia de Néstor? ¿Por qué tenía tanta plata Néstor? Porque aparte no creo que haya heredado todo Máximo, también deben haber heredado su mujer, Cristina, y su otra hija Florencia. Entonces, ¿cómo hizo Néstor para tener más de mil millones de pesos?”, cuestionó hablando a cámara.

En este punto, Maratea lamentó que una misma situación se juzgue con dos varas distintas. “Y si está bien que Néstor haya manejado inteligentemente su plata y así logrado ser multimillonario, ¿por qué cuando otra persona hace lo mismo la juzgan por tener mucho?”, preguntó.

Papá y mamá se las ingeniaron para darle a su hijo lo que pedía para las vacaciones de invierno. (Villa María Ya)
Ingenio de papá y mamá: su hijo les pidió una “Big Mac”, no la podían comprar y así lo resolvieron
Luego comparó al hijo de la vicepresidenta con Mauricio Macri: “Si Máximo es un tipo que nunca trabajó, pero tiene 400 millones de pesos heredados, es un hijo de rico, es Macri. Es lo que critica de Macri”.

", ,
Política,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid0TL4zmqJmJ15K7UqstJetnNz9E1KWETJGMP4Xj73bgddFtq7bjCUhDKJ5sc1HSq7Pl,Elecciones,Elecciones presidenciales,Le niegan el saludo a Mauricio Macri,Nacional,Mauricio Macri,,21/7/2022,La Voz del Interior,Si,71,12,2,0,65,2,27,0,,321,14,514," Sucedió mientras el expresidente caminaba por las calles de la ciudad de la provincia de Buenos Aires. El momento quedó registrado en un video.
#PorSiTeLoPerdiste"," A Macri le negaron el saludo en Ituzaingó: “Danos de comer con lo que te robaste”
No lo saludaron: Mauricio Macri en Ituzaingó, en la provincia de Buenos Aires
No lo saludaron: Mauricio Macri en Ituzaingó, en la provincia de Buenos Aires
LO MÁS LEÍDO
Papá y mamá se las ingeniaron para darle a su hijo lo que pedía para las vacaciones de invierno. (Villa María Ya)
VIRAL
Ingenio de papá y mamá: su hijo les pidió una “Big Mac”, no la podían comprar y así lo resolvieron
1
Foto: captura pantalla
TV
Luciana Salazar finalmente contó la verdad detrás de su hija y el vínculo con Martín Redrado
2
Quini 6
CIUDADANOS
Quini 6: sorteo 2.977 de hoy miércoles 20 de julio, los números ganadores
3
Julián Vignolo
FÚTBOL
Tiene 15 años, es el goleador de inferiores y ya lo subieron al plantel profesional de Racing de Nueva Italia
4
Feriados 2022: ¿Cuántos fines de semana largos tendrá el calendario?
CIUDADANOS
Feriados 2022: el calendario completo
5
Sucedió mientras el expresidente caminaba por las calles de la ciudad de la provincia de Buenos Aires. El momento quedó registrado en un video.

Redacción LAVOZ
Redacción LAVOZ
Miércoles, 20 de julio de 202214:18 hs
", ,
Random,,https://www.instagram.com/p/CgSpahAM7ZP/,Espectáculos,Vuelve Marcelo Tinelli,,Nacional,,,21/7/2022,Instagram-ElDoceTv,Si,,,,,,,,,362,58,,420,"Verificado
¡Ya está todo listo para el lanzamiento de Canta Conmigo Ahora! 😍

🎤 El certamen de canto, producido por LaFlia y conducido por Marcelo Tinelli, se estrenará el lunes 25 de julio a las 22:30hs.

🙌🏻 Para avanzar en las distintas instancias, los participantes deberán lograr que todos los jurados se levanten de sus asientos, presionen un botón y canten junto a ellos.

😍 ¿Los jueces? Desde Cristian Castro y “El Puma” Rodríguez, hasta @candelariatinelli, @loscaligarisoficial y @magui_olave.",,,
Economía y Situación Social,Turismo,https://www.instagram.com/p/CgRkRbJszZm/,Industria,Festival de Diseño Córdoba 2022,,Municipal,,,21/7/2022,Instagram-ElResaltador,Si,,,,,,,,,2071,35,,2106,"¡Mirá qué plan!

🙋🏽‍♀️ Desde mañana, viernes 22, hasta el domingo 24 de julio será el Festival de Diseño Córdoba 2022, en el Museo de la Industria, que tendrá producciones de diseño gráfico, de indumentaria y textil, industrial, y editorial

👏🏽 Participan más de 150 MiPyMEs de diseño, empresas y profesionales, además, de contar con dos muestras, dos ciclos de charlas, workshops, intervenciones, actividades al paso, propuestas interactivas, música y alternativas gastronómicas

🎶 Habrá show en vivo, los tres días, desde las 15:00, con música, dj, vjsa y la participación de grandes artistas como @marilinaplastilina, @felicolina , @telecospios, @tomatesasesinos, @pazgonzalez___, @laboratoriodecuartetodigital, @fresquitapipol entre otres

Leé la nota completa desde nuestra web (link en bio) ☝🏽",,,
