"","bigram","n"
"1","blas correas",36
"2","blas correa",17
"3","jonatan romo",17
"4","soledad laciar",13
"5","jonathan romo",11
"6","laciar mamá",7
"7","ministro mosquera",7
"8","abuso policial",6
"9","alfonso mosquera",6
"10","apuntó directamente",6
"11","caso blas",6
"12","correas habló",6
"13","falla estructural",6
"14","gatillo fácil",6
"15","ministro alfonso",6
"16","romo apuntó",6
"17","t.co ce0g8dqjcu",6
"18","único problema",6
"19","autoridad policial",5
"20","correas solelaciar",5
"21","efectivos policiales",5
"22","gobernador pidió",5
"23","inmediata minutos",5
"24","reciente crimen",5
"25","t.co ihazllc2zp",5
"26","t.co y4ynqisgmy",5
"27","violencia policial",5
"28","blas quedo",4
"29","blascorreas soledad",4
"30","caso noradalmasso",4
"31","córdoba blas",4
"32","correas falso",4
"33","crimen policial",4
"34","cultura represiva",4
"35","determinen culpables",4
"36","entendiendo señora",4
"37","falso médico",4
"38","gonzalo cumplido",4
"39","haymañana bettinamarengo",4
"40","mal accionar",4
"41","mariano montali",4
"42","montali conversan",4
"43","polemica contodoalaire",4
"44","prohibieron hablar",4
"45","recursos humanos",4
"46","responsables políticos",4
"47","retirado gonzalo",4
"48","sota schiaretti",4
"49","t.co 82npgzxzth",4
"50","t.co bi9xtjcfze",4
"51","t.co c6yp1rd3qi",4
"52","t.co h8ri9ve9eu",4
"53","t.co qeadyyzluc",4
"54","t.co vvphcb7kqd",4
"55","trabajos escandalosos",4
"56","actuación policial",3
"57","andan sueltos",3
"58","blas joaquín",3
"59","blascorrea gatillofacil",3
"60","cordoba juan",3
"61","cordoba policia",3
"62","córdoba pidieron",3
"63","correa blascorrea",3
"64","encubre ponga",3
"65","gatillofacil cordoba",3
"66","gravísimas falencias",3
"67","gustaria contactarme",3
"68","joaquin paredes",3
"69","juan schiaretti",3
"70","moro q.e.p.d",3
"71","nota solitos",3
"72","policia bueno",3
"73","policia soledadlaciar",3
"74","policía reconociendo",3
"75","problema estructural",3
"76","radiomitre radiomitre",3
"77","responsabilidad basta",3
"78","romo demuestra",3
"79","seguridad justiciaporblas",3
"80","t.co gqr5zrvdz5",3
"81","t.co j8xw6jo1bl",3
"82","t.co ri2gooywwz",3
"83","t.co tljjmojcg6",3
"84","ucr córdoba",3
"85","vienen dando",3
"86","violencia institucional",3
"87","aire crimen",2
"88","aire jonatanromo",2
"89","aleperz7 perdon",2
"90","alfonso mosquera.bajo",2
"91","bajos recursos",2
"92","barajada años",2
"93","bate cana",2
"94","belgrano alberdi",2
"95","bettinamarengo solelaciar",2
"96","blascorreas acerca",2
"97","colegio secundario",2
"98","córdoba alfonso",2
"99","córdoba caso",2
"100","correa joaquín",2
"101","correa joven",2
"102","correas joaquin",2
"103","correas viene",2
"104","derechos humanos",2
"105","dulcemente podrido",2
"106","escucháotravez soledad",2
"107","falleció solange",2
"108","generan problemas",2
"109","gente terminaste",2
"110","gobierno provincial",2
"111","humanos pidió",2
"112","jefe político",2
"113","joaquín paredes",2
"114","jonatanromo blascorreas",2
"115","juicio comenzará",2
"116","laciar madre",2
"117","mal barajada",2
"118","mala gente",2
"119","manos sos",2
"120","manzana podrida",2
"121","motta viejo",2
"122","murieron blas",2
"123","paredes asesinados",2
"124","pidiendo custodia",2
"125","pidió echar",2
"126","policía actúe",2
