"","vertical_1","vertical_2","noticia_link","etiqueta","etiqueta_especifica","etiqueta_3","region","personalidad_destacada","x9","fecha","diario","si","me_gusta","simpatia","asombro","diversion","descreimiento","tristeza","enojo","me_importa","likes","comentarios_22","compartidos","interacciones","cuerpo_del_post","cuerpo_de_la_noticia","comentarios_27","link_del_comentario","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64"
"1","Seguridad",NA,"https://www.facebook.com/eldocetv/posts/pfbid02VwKWhigMRHi6t2Dk5HJ6S8bhL8twLRYnYjwxRHBdGjKKaRPpnQwGWGfzJJ5cdYByl","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-13,"ElDoceTv","Si",227,2,15,0,0,57,83,1,NA,314,438,1137,"Exclusivo: las últimas imágenes de Romo con vida
El hombre de 36 años murió en la comisaría de La Falda horas después a ser detenido en la calle. Tres altos jefes policiales fueron desplazados.","Exclusivo: el video de la detención del hombre que murió en la comisaría de La Falda
Son las últimas imágenes de Jonatan Romo con vida. Tras su muerte, el Ministerio de Seguridad de la Provincia desplazó a tres altos jefes policiales.
Por: El DoceMiércoles 13 de Julio de 2022
 jonathan-romo-detenido-muerto-la-falda
La última imagen de Romo con vida.
Jonatan Romo (36) fue detenido en la calle “por disturbios” el domingo y horas más tardes falleció en la comisaría de La Falda, cuando era requisado.

Mientras la fiscalía de Cosquín investiga su muerte, el Ministerio de Seguridad de la Provincia de Córdoba ordenó una serie de desplazamientos que impactaron en la Jefatura de Policía.

 + MIRÁ MÁS: Muerte de un detenido: jefe policial sancionado había acusado al “perejil” del caso Basaldúa

En las últimas horas, El Doce tuvo acceso a videos del momento en que Romo es arrestado. Son las últimas imágenes de él con vida.

En los primeros registros, el hombre no mostró resistencia. Cuando llegaron los móviles policiales, se puso de rodillas y luego se tiró al suelo. Acto seguido, tres efectivos lo redujeron hasta esposarlo. 

 + VIDEO: El momento en que detuvieron al hombre en La Falda

Play Video
Según contó su hermano Hernán Romo en Arriba Córdoba, tenía problemas de adicciones y aclaró que “era una persona enferma, no un ladrón y estaba medicado”. La víctima era papá de dos niños.

“Lo llevaron a la comisaría por un supuesto disturbio en una despensa. Dicen que entró y estaba en un brote psicótico, no estaba en sus cabales”, relató. La causa de la muerte de Jonathan Romo aún es desconocida.

De acuerdo a lo que le informaron al hermano, “lo estaban requisando en la comisaría y se descompensó”. Luego llegó personal del servicio de emergencia y “supuestamente le hicieron una reanimación de 45 minutos y no pudieron sacarlo del supuesto paro”. 



Muerte en una comisaría y purga en la Jefatura

El Ministerio de Seguridad de la Provincia de Córdoba ordenó desplazar al comisario inspector Diego Alejandro Bracamonte como titular de la Departamental Punilla Norte.

Por otro lado, dispusieron el pase a retiro obligatorio del comisario general Julio César Faria,  director general de Recursos Humanos, Formación Profesional y Entrenamiento Policial, y del comisario inspector Marcos Germán Manrique, a cargo de la Dirección de Entrenamiento Profesional Permanente. 

Además, el Tribunal de Conducta de las Fuerzas de Seguridad puso situación pasiva a seis policías que se trabajaban en la comisaría de La Falda.

Bracamonte, el jefe bajo la lupa 

En 2020, se desempeñaba como segundo Jefe del Departamento de Investigaciones de Punilla. Estuvo a cargo de la investigación por la desaparición de Cecilia Basaldúa, quien fue asesinada en Capilla del Monte.

Él fue el encargado de ordenar la detención de Lucas Bustos, que estuvo preso dos años y fue absuelto hace menos de dos semanas. ""Tener a este supuesto asesino de Cecilia le valió el ascenso al poco tiempo"", manifestó Daniela Pavón, abogada de la familia de Basaldúa. 

cecilia-basaldua

Después de la captura del ""perejil"", Diego Bracamonte pasó de segundo jefe del Departamento de Investigaciones de Punilla a jefe de la Departamental Punilla Norte.



¿TE GUSTÓ LA NOTA?
SI1NO5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Seguridad",NA,"https://www.facebook.com/eldocetv/posts/pfbid0jUm3JXddgeGEFLXYqkUcTB6cgm9HkAsz3HATgZLTzhYNkNqZnaKBfNvxDk6VdHQNl","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-13,"ElDoceTv","Si",52,0,4,0,9,16,8,0,NA,61,13,163,"Duras sanciones para tres comisarios
El ministro Mosquera señaló en qué fallaron los policías que detuvieron a un hombre que luego murió en una comisaría.","Muerte en la comisaría: Mosquera indicó en qué fallaron los jefes policiales
El ministro de Seguridad de la Provincia aseguró que en el caso de La Falda no se siguió el protocolo de actuación para detenidos con enfermedades mentales. ""Consideramos indispensable tomar recaudos"", sostuvo sobre la investigación en marcha.
Por: El DoceMiércoles 13 de Julio de 2022
FacebookTwitterG-PlusCommentsPrintEmail
romo muerte comisaria
Jonatan Romo murió tras ser trasladado a la Comisaría de La Falda.
La muerte de un hombre en la comisaría de La Falda provocó el apartamiento de tres altos mandos en la Policía de Córdoba. Tras las duras sanciones aplicadas, el ministro de Seguridad de la Provincia, Alfonso Mosquera, indicó que hubo fallas en el procedimiento de los uniformados.

El funcionario señaló en Noticiero Doce principalmente ""la inobservancia de los protocolos de actuación respecto del manejo de los detenidos que están en situación de crisis o con sus facultades mentales alterada"".

+ MIRÁ MÁS: Exclusivo: el video de la detención del hombre que murió en la comisaría de La Falda

Explicó que ante esas situaciones, las personas deben ser trasladadas a un centro asistencial y no a una dependencia policial. ""En este caso esas circunstancias no fueron observadas"", remarcó al mencionar la guía aprobada entre el Tribunal Superior de Justicia (TSJ), el Ministerio de Seguridad y el Ministerio de Salud provincial.

Mosquera destacó que hay una investigación penal en marcha. En tal sentido, declaró: ""Consideramos indispensable tomar recaudos para aventar cualquier tipo de injerencia o intromisión en el total esclarecimiento de este hecho luctuoso"".

+ VIDEO: la palabra de Mosquera tras la muerte en la comisaría:

Play Video
 

Los jefes desplazados

El Ministerio de Seguridad desplazó a tres comisarios por la muerte de Jonatan Romo en La Falda. Los policías lo trasladaron por provocar disturbios. En una oficina de la fuerza de seguridad se descompensó y murió.

La causa está en manos del fiscal de turno de Cosquín, Raúl Ramírez, aunque las primeras medidas fueron dirigidas por la fiscal Paula Kelm.

Uno de los apartados es el comisario inspector Diego Alejandro Bracamonte, quien cumplía funciones como jefe de la Departamental Punilla Norte. Su trabajo quedó vinculado a la acusación contra el ""perejil"" del caso Cecilia Basaldúa.

+ MIRÁ MÁS: Desbaratan un desarmadero en Córdoba: uno de los detenidos tenía pedido de captura

Además retiraron de la Policía al comisario general Julio César Faria y al comisario inspector Marcos Germán Manrique.

Faria se desempañaba como director general de Recursos Humanos, Formación Profesional y Entrenamiento Policial. Manrique estaba a cargo de la Dirección de Entrenamiento Profesional Permanente.

Por otra parte, la Dirección de Control e Investigación de las Fuerzas de Seguridad dispusieron el pase a pasiva de seis agentes mientras avanza la causa judicial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Seguridad",NA,"https://www.facebook.com/eldocetv/posts/pfbid0MFeJgEjwD7jndX2hwHBsByERJwN96Wi3iYDZTSpbPqZNN1YR3K51MenGSEGezWiwl","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-13,"ElDoceTv","Si",143,1,16,0,1,70,11,1,NA,165,40,448,"Esperan la autopsia y analizan el video de la detención
Mientras la Justicia avanza por la muerte de Jonatan Romo, la familia fue aceptada como querellante en la causa. Su abogado relató un caso similar con el mismo protagonista en diciembre pasado.","Detención y muerte en La Falda: “Están reconociendo que algo falló en la institución”
El fallecimiento de Jonatan Romo derivó en desplazamientos dentro de la Fuerza. La familia del hombre fue aceptada como querellante. Su abogado contó que algo similar había ocurrido ""en diciembre"".
Por: El DoceMiércoles 13 de Julio de 2022
muerte-detencion-la-falda
El episodio derivó en la remoción de la Departamental Punilla Norte.
El video de la detención de Jonatan Romo en La Falda aparece como un material clave en la investigación que lleva a cabo la Justicia. El hombre de 36 años fue capturado por policías el domingo pasado y horas después falleció en la comisaría. 

Tras la remoción de la cúpula de la Departamental Punilla Norte, con tres jefes policiales desplazados y seis uniformados en situación pasiva, la familia de la víctima fue aceptada este miércoles como querellante en la causa.

El caso sigue siendo investigado por el fiscal de turno en la feria judicial, Raúl Ramírez. Esperan la autopsia del cuerpo de Jonatan Romo y el material filmográfico que apareció en las últimas horas también será fundamental en el proceso. 

+ MIRÁ MÁS: Por la muerte de un detenido en la Policía de La Falda, apartaron a tres comisarios

Luego de conocerse el video, el abogado de la familia del fallecido puso el foco en el accionar de los policías. ""No han removido a cualquier parte de la cúpula, es a la cúpula a cargo de la instrucción de los policías"", remarcó Carlos Galli a Telenoche.

Y agregó al respecto: ""La misma Provincia ha prendido la luz roja y está reconociendo que algo falló en la institución"". Para Galli, los oficiales ""no saben atender a una persona que está fuera de sí"". 

+ VIDEO: la palabra del abogado Carlos Galli: 

Play Video
""Ningún policía ha estudiado cómo se hace en un protocolo cuando una persona sufre un brote psicótico. La prueba está que cuando él se quiere entregar, que se arrodilla y pone las manos en su espalda, automáticamente un policía se baja y le apunta con el arma"", precisó el letrado.

Antecedente cercano

El abogado de la familia Romo también relató en la entrevista otro episodio muy parecido que tuvo como protagonista al hombre muerto en las últimas horas.

""En diciembre, esta misma persona tuvo un brote psicótico y la Policía tampoco lo supo tratar"", contó. Galli precisó que ""lo esposaron contra el piso"" y que ""cinco policías le pegaron y le perforaron un riñón"". 

""Romo estuvo internado en un hospital público provincial a la espera de la resolución. No es la primera vez que le sucede esto, la segunda lo mataron"", cerró el abogado. 

¿TE GUSTÓ LA NOTA?
SI0NO0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Seguridad",NA,"https://www.facebook.com/LaVoz.com.ar/posts/pfbid02uXisF9WRtf5ngoTBXPkoTNU8svD","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-13,"La Voz del Interior","Si",52,0,9,0,0,12,5,0,NA,19,15,112,"El hombre había sido aprehendido en La Falda. Creen que estaba con un brote psicótico o bajo efectos de drogas. En la comisaría, sufrió un paro y murió. La Justicia investiga si hubo golpiza.","Muerte de un detenido en Córdoba: tres altos jefes policiales desplazados y seis uniformados en pasiva
La Falda. La comisaría donde ocurrió la muerte del hombre (La Estafeta On Line).
La Falda. La comisaría donde ocurrió la muerte del hombre (La Estafeta On Line).
LO MÁS LEÍDO
Sismo en Chile
VIRAL
Se cumplió el presagio del pez remo: hubo un fuerte sismo en Chile
1
Denis Rodríguez fue anunciado en el Celeste
FÚTBOL
Jugó en River, pasó por Belgrano y ahora fichó por el club santafesino de Scocco y “Maxi” Rodríguez
2
Azúcar o edulcorante
CIUDADANOS
Sustituir el azúcar por edulcorante no es tan bueno para la salud como parece
3
Viviana Canosa
TV
Cuánto podría cobrar Viviana Canosa por su juicio millonario contra la revista Noticias
4
Álvaro Cortéz
FÚTBOL
“Tilín”, el cebollita que deslumbra en Los Andes y ya captó un “grande” de Córdoba
5
El hombre había sido aprehendido en La Falda. Creen que estaba con un brote psicótico o bajo efectos de drogas. En la comisaría, sufrió un paro y murió. La Justicia investiga si hubo golpiza.

Claudio Gleser
Claudio Gleser
Martes, 12 de julio de 202215:34 hs

Mientras la Justicia penal investiga las circunstancias que rodean la muerte de un detenido en la comisaría de La Falda, el pasado domingo, el Ministerio de Seguridad de la Provincia desplazó de la fuerza a tres altos comisarios.

En paralelo, el Tribunal de Conducta de las Fuerzas de Seguridad ya puso poner en situación pasiva a seis uniformados que se desempeñaban en la dependencia cuando sucedió todo.

La investigación penal la tiene el fiscal de instrucción Raúl Ramírez.

El funcionario judicial espera los resultados de la autopsia para confirmar cómo murió el preso y si hubo o no golpiza por parte de los uniformados.

Los jefes desplazados por orden del ministro de Seguridad, Alfonso Mosquera, son:

El director de la Unidad Regional Departamental Punilla Norte, comisario inspector Diego Alejandro Bracamonte.
El director general de Recursos Humanos y Entrenamiento de la Policía, comisario general Julio César Faría.
El director de Entrenamiento Profesional Permanente (el segundo de Faría), comisario inspector Marcos Germán Manrique.
Mientras Bracamonte fue “desplazado”, Faría y Manrique fueron pasados a “retiro obligatorio”. Es decir, fueron enviados sus hogares.

“Es inadmisible que una persona que estaba alterada y con un visible trastorno mental, sea llevada a una comisaría y muera allí a poco de ser ingresada. Esa persona no fue llevada a un hospital o a un centro de salud. Se actuó mal. No menos serio es que hay que esperar qué indica la autopsia. Para eso, está la investigación de la Justicia”, expresaron a La Voz altas fuentes de Gobierno.

La persona fallecida es Jonathan Romo, quien tenía 34 años. Vivía en La Falda con su familia.

El caso se inició el pasado domingo, cuando Romo sufrió una crisis en una despensa de La Falda.

Según testigos, se tornó irascible y violento, y tomó una botella y la rompió.

En esas circunstancias, mantuvo un fuerte entredicho con otras personas y todo se trasladó a un predio cercano, donde volaron cascotes.

Hubo varios llamados al 911 y acudieron patrullas.

Unos policías lograron controlarlo y lo detuvieron.

MUERTE EN LA COMISARÍA
Acto seguido, lo trasladaron a la comisaría de La Falda.

Esa misma noche, mientras era “requisado en un vestíbulo” y “se le quitaban elementos como cordones” (según voceros), Romo se descompuso.

Acudió al rato, un servicio de emergencia y el cuerpo médico constató la muerte.

Se hicieron tareas de reanimación que fueron infructuosas.

No murió en una celda.

La noche del domingo, la fiscal Paula Kelm llegó a la dependencia y ordenó las primeras medidas. Como salió de feria (vacaciones), la instrucción recayó en su par, Raúl Ramírez.

CAUSA ABIERTA
En el marco de la investigación judicial se ordenaron peritajes y testimoniales, además del secuestro de libro de guardia y de celulares.

Se esperan los resultados de la autopsia.

En la fiscalía se intenta determinar, confirmar o descartar si presentaba lesiones externas o internas. Y si es así, cómo fueron causadas.

“Hubo una falla gravísima en el protocolo. No se puede morir una persona en una dependencia policial. La dependencia policial debe resguardar la integridad y no ser escenario de una muerte. Por eso, se han tomado las medidas que se tomaron”, expresaron desde el Ministerio de Seguridad.

TEMBLOR
Los retiros forzosos dispuestos contra Faría y Manrique repercuten directamente en la Jefatura.

Faría era de la Plana Mayor. Su dirección tiene a cargo la formación y entrenamiento de todas y todos los uniformados de la Policía en la provincia.

En la página oficial de la fuerza se señala que la Dirección de Recursos Humanos tiene como objetivo: “la selección de policías competentes, productivos y motivados, a través de la planeación, organización, dirección y control de sus recursos”.

(Noticia en desarrollo).

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Seguridad",NA,"https://www.facebook.com/eldocetv/posts/pfbid02xJ9p26rTWEE43WYHGmrg2dSm4EMsPYWLfzj3vNdHLPAEie1oTbW3KaR8mDRbsbtWl","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-12,"La Voz del Interior","Si",77,0,5,0,4,1,19,0,NA,27,28,161,"Duras sanciones para tres comisarios
Fueron apartados de sus cargos en la Policía por la muerte de un detenido en La Falda. El hombre de 36 años falleció en la Comisaría.","Muerte de un detenido: jefe policial sancionado había acusado al “perejil” del caso Basaldúa
Diego Bracamonte tuvo un rol fundamental en la investigación del femicidio en Capilla del Monte. En las últimas horas fue desplazado por la muerte en la comisaría de La Falda.
Por: El DoceMartes 12 de Julio de 2022
muerte-la-falda-caso-basaldua
Bracamonte, el nombre bajo la lupa que se repite en ambos casos.
“La parte investigativa la dirigía yo”. Las palabras corresponden a Diego Bracamonte en mayo pasado, en el transcurso del juicio por el femicidio de Cecilia Basaldúa, que tuvo un escandaloso final.

Bracamonte volvió a ser noticia este martes tras ser desplazado de la Departamental Punilla Norte por la muerte de un detenido en La Falda. Jonatan Romo, de 36 años, falleció el domingo en la dependencia policial a la que lo trasladaron por distintos disturbios en la ciudad. 



El comisario fue apartado de su cargo como jefe de la Departamental Punilla Norte luego de la intervención del Tribunal de Conducta y la investigación judicial iniciada por la Fiscalía de Cosquín, confirmó el Ministerio de Seguridad de la Provincia.

La conexión de ambos casos ponen bajo la lupa el nombre del ahora exjefe policial.

En abril de 2020, Bracamonte se desempeñaba como segundo Jefe del Departamento de Investigaciones de Punilla. Se hizo cargo del operativo de búsqueda en Capilla del Monte cuando ocurrió el crimen de Cecilia. También fue el encargado de ordenar la detención de Lucas Bustos, que estuvo preso dos años y fue absuelto hace menos de dos semanas.

Durante el juicio por el femicidio de Basaldúa, Bracamonte expresó que comenzó a participar en la búsqueda apenas le avisaron que la mujer había desaparecido. Se dio inicio al sumario, se activó un protocolo, y después intervino la Fiscalía de Cosquín.

Otros comisarios que declararon en los Tribunales de Cruz del Eje apuntaron a Bracamonte como el ""jefe directo"" en la investigación del caso. Incluso Ariel Zárate, subcomisario de la brigada de Investigaciones del año 2020, quien se encuentra detenido en Bouwer, procesado por violencia de género.

Todos coincidieron en algo: Zárate entrevistó a Lucas Bustos y luego dio aviso a Bracamonte para que se comunicara con la fiscal instructora Paula Kelm, también apuntada por un cúmulo de errores procesales alrededor del caso. A las pocas de aquel 28 de abril de 2020, el campesino de 24 años era imputado y quedaba preso por el asesinato. Solo habían pasado tres días desde el hallazgo del cuerpo de Cecilia.



Más de dos años después, los ocho miembros del jurado popular que intervino en el juicio absolvió al peón rural. Así se confirmó que lo que siempre sostuvo la familia de la víctima: Bustos era un ""perejil"" que nada tuvo que ver con el crimen de la mujer.

""El rol de Bracamonte fue fundamental en la investigación y en la detención de Bustos. En el juicio se adjudicó haber estado al frente de esto cargado de irregularidades"", afirmó a ElDoce.tv Daniela Pavón, abogada de la familia Basaldúa, tras ser consultada por este nuevo escándalo que tiene como uno de los protagonistas al exjefe policial.

La letrada no solo enfocó los errores en la detención del ""perejil"" sino también en ""el manejo del sumario"". ""Nadie tenía acceso a eso, salvo él. En el juicio quedó claro que Bracamonte dirigía la Policía de Capilla del Monte y en cómo se llevó a cabo todo"", agregó.

+ MIRÁ MÁS: Córdoba: un pasajero atacó a cuchillazos a otros dos en un colectivo

Para Pavón, la captura de Bustos devino en el ascenso de Bracamonte, que pasó de segundo jefe del Departamento de Investigaciones de Punilla a jefe de la Departamental Punilla Norte.

""Tener a este supuesto asesino de Cecilia le valió el ascenso al poco tiempo. Sabíamos que dentro de la Policía que él manejaba decidieron tener a un culpable del hecho en 48 horas, porque eso les servía"", dijo la representante de la familia Basaldúa, y reiteró:  ""El papel de Bracamonte quizás fue el de los más importantes en esos primeros días"".

Finalmente, la abogada se refirió al desplazamiento que sucedió en las últimas horas: ""Me parece muy bien que se empiecen a tomar medidas. Es lo que habíamos solicitado en el juicio y todavía no se habían tomado cartas en el asunto en la Policía"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Seguridad",NA,"https://www.facebook.com/watch/?v=431412815531633","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-12,"Telefé","Si",7,0,1,0,1,1,1,0,NA,1,0,12,"INVESTIGAN LA MUERTE DE UN JOVEN EN LA COMISARÍA DE LA FALDA
Jonatan Romo tenía 35 años cuando fue detenido por la policía. Sus familiares piden investigar la causa de la muerte. Tres jefes policiales fueron apartados de sus cargos.
<U+0001F30E> Segui´ informado en cordoba.mitelefe.com","INVESTIGAN LA MUERTE DE UN JOVEN EN LA COMISARÍA DE LA FALDA
Jonatan Romo tenía 35 años cuando fue detenido por la policía. Sus familiares piden investigar la causa de la muerte. Tres jefes policiales fueron apartados de sus cargos.
<U+0001F30E> Segui´ informado en cordoba.mitelefe.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Seguridad",NA,"https://www.instagram.com/p/CgAlZCnMxhm/","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-14,"Instagram-ElDoceTv","Si",NA,NA,NA,NA,NA,NA,NA,NA,3498,149,NA,3647,NA,"Acusados de homicido: la autopsia determinó que Jonatan Romo murió por asfixia mecánica

<U+0001F46E><U+0001F3FB><U+200D><U+2642><U+FE0F> El fiscal Raúl Ramírez confirmó a #eldoce que seis policías fueron detenidos por la muerte de Romo en la comisaría de La Falda.

<U+274C> Cuatro de los efectivos son acusados de homicidio y otros dos están imputados por el delito de encubrimiento.

<U+0001F614> La autopsia determinó que el fallecimiento de Jonatan Romo se produjo por ""asfixia mecánica"". ""Está confirmado que es una muerte violenta, generada por terceros. Y los terceros que hubo en estas cricunstancias fueron personal policias"", detalló el fiscal en #TelenocheCordoba.

<U+0001F534> Y agregó: ""Hay múltiples lesiones. Es un hecho doloso sin duda"".

<U+0001F449><U+0001F3FB> Romo murió el domingo después de ser detenido por disturbios. El hombre presentaba un brote psicótico, según señalaron sus familiares, y las autoridades del Ministerio de Seguridad de la Provincia determinaron que no se siguieron los protocolos indicados para este tipo de casos.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Seguridad",NA,"https://www.instagram.com/p/CgDY4HYM_4G/","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-15,"Instagram-ElDoceTv","Si",NA,NA,NA,NA,NA,NA,NA,NA,1705,110,NA,1815,"Verificado
""Vamos tachando seres humanos y familias destruidas"" <U+0001F494>

<U+0001F449><U+0001F3FB> @mslaciar, la mamá de Blas, se refirió al crimen de Jonatan Romo en La Falda y responsabilizó a la Provincia.

<U+0001F614> ""Cuando me enteré del caso me dolió mucho, me puse en el lugar de esa familia"", nos contó en #TelenocheCordoba.

<U+0001F5E3> Y agregó: ""Cuando la policía hace algo malo hay una corporación que lo cubre"".

<U+0001F535> Sobre esta línea, apuntó contra el Gobierno y exigió la renuncia del ministro de Seguridad, Alfonso Mosquera. ""Que el Gobernador se haga cargo del Ministro que tiene"", enfatizó.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Seguridad",NA,"https://www.instagram.com/p/CgA-QQXsxaI/","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-14,"Instagram-ElDoceTv","Si",NA,NA,NA,NA,NA,NA,NA,NA,1450,116,NA,1566,NA,"La jefa de Policía condenó el crimen en la comisaría y no descartó más agentes involucrados <U+0001F534>

<U+0001F46E><U+0001F3FB><U+200D><U+2640><U+FE0F> Liliana Zárate Belletti, jefa de la Policía de Córdoba, convocó a una conferencia de prensa y se refirió por primera vez al homicidio de Jonatan Romo en la comisaría de La Falda.

<U+0001F5E3><U+FE0F> En #TelenocheCórdoba la funcionaria sostuvo: ""Sabemos que no se cumplieron los protocolos que tienen que ver con el uso racional de la fuerza"". Y afirmó: ""Nosotros no tapamos ni apañamos estas conductas, lo que hacemos es ponernos inmediatamente en acción"".

<U+0001F449><U+0001F3FB> Por último, la jefa concluyó: ""Desconozco si habría más policías involucrados. Administrativamente se removió a todos los que tenían la responsabilidad de la capacitación del protocolo"".

#eldoce #jefaturadepolicia #lafalda #policia #cordoba #jefadepolicia #homicidio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Seguridad",NA,"https://www.instagram.com/p/CgNwRsnsdTf/","Violencia Institucional","Muere Jonatan Romo en la comisaría donde estaba detenido","La Falda","Provincial",NA,NA,2022-07-19,"Instagram-ElDoceTv","Si",NA,NA,NA,NA,NA,NA,NA,NA,1180,60,NA,1240,"Cuestionamiento a la capacitación policial tras el caso Jonatan Romo: ""Esto puede seguir pasando"" <U+26A0><U+FE0F>

<U+0001F534> ""Las predicciones que tengo sobre las estadísticas de destreza policial, inclusive en el área cognitiva, es que estamos en problemas"", denunció Julio Faría, uno de los jefes que fue separado de la Policía de Córdoba tras el crimen en la comisaría de La Falda.

<U+274C> El ahora exdirector general de Recursos Humanos reveló en exclusiva en #TelenocheCordoba que fue notificado ""con un llamado telefónico del ministro Mosquera"", pero aclaró que todavía no firmó nada sobre su pase a retiro.

<U+0001F693><U+0001F6A8> Sobre los cuestionamientos a las capacitaciones aseguró que la policía no tiene un polígono de tiro propio: ""Tiene dos pero están inhabilitados"", sostuvo. Los agentes entrenan en un espacio alquilado pero ""no se pueden desarrollar otras actividades que no sean de tiro deportivo"".

<U+274C> Así, suplen esta falencia con polígonos virtuales. ""Para que se den una idea, es como un juego de Play, hay dos para toda la Policía de la Provincia y no puede reemplazar a la actividad de tiro real"", agregó.

¿Qué dice la policía?

<U+0001F46E><U+0001F3FB> Frente a estas acusaciones, el subjefe de la Policía se defendió y aseguró: “Estamos ocupados de elevar la capacitación del personal"". Además, agregó: “Se tiene que rendir una condición anual de tiro. Se toman evaluaciones, se controlan los resultados"".

<U+0001F5E3><U+FE0F> ""Los que desaprueban, entran en un programa de entrenamiento y seguimiento"", cerró.

La nota completa en eldoce.tv (link en bio)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
