"","word","n"
"1","policía",44
"2","juez",24
"3","persona",23
"4","policia",19
"5","inútil",16
"6","policías",16
"7","vos",16
"8","gente",13
"9","justicia",13
"10","xq",13
"11","calle",12
"12","caso",12
"13","familia",12
"14","seguridad",12
"15","tipo",12
"16","1",11
"17","cara",11
"18","sociedad",11
"19","jefa",10
"20","vergüenza",10
"21","2",9
"22","años",9
"23","debería",9
"24","luis",9
"25","mal",9
"26","personas",9
"27","policias",9
"28","provincia",9
"29","vida",9
"30","arma",8
"31","gobernador",8
"32","hablar",8
"33","renuncie",8
"34","accionar",7
"35","actuar",7
"36","atl3",7
"37","culpa",7
"38","deja",7
"39","derecho",7
"40","falta",7
"41","forma",7
"42","fuerza",7
"43","mierda",7
"44","muerte",7
"45","opinar",7
"46","problemas",7
"47","alguien",6
"48","bla",6
"49","casos",6
"50","córdoba",6
"51","desastre",6
"52","dios",6
"53","estado",6
"54","gobierno",6
"55","ministro",6
"56","mira",6
"57","muerto",6
"58","país",6
"59","pobre",6
"60","políticos",6
"61","salud",6
"62","sos",6
"63","caradura",5
"64","cargo",5
"65","fuiste",5
"66","intendente",5
"67","leyes",5
"68","mano",5
"69","mosquera",5
"70","mundo",5
"71","policial",5
"72","política",5
"73","problema",5
"74","protocolo",5
"75","quieren",5
"76","razón",5
"77","renuncia",5
"78","responsable",5
"79","único",5
"80","6",4
"81","7",4
"82","acá",4
"83","actúa",4
"84","brote",4
"85","canal",4
"86","choros",4
"87","cosa",4
"88","creen",4
"89","das",4
"90","deberían",4
"91","degollado",4
"92","derechos",4
"93","drogado",4
"94","enferma",4
"95","grande",4
"96","hdp",4
"97","hechos",4
"98","hombre",4
"99","iguales",4
"100","inseguridad",4
"101","ley",4
"102","médico",4
"103","merecen",4
"104","meses",4
"105","mujer",4
"106","nota",4
"107","ojalá",4
"108","opinan",4
"109","pasa",4
"110","paso",4
"111","pedir",4
"112","personal",4
"113","poli",4
"114","politica",4
"115","pueblo",4
"116","queda",4
"117","salen",4
"118","señor",4
"119","señora",4
"120","situación",4
"121","sra",4
"122","uds",4
"123","uniforme",4
"124","ve",4
"125","video",4
"126","violencia",4
"127","ac3552",3
"128","argentina",3
"129","atención",3
"130","ayuda",3
"131","banco",3
"132","basta",3
"133","bueno",3
"134","cabeza",3
"135","cambien",3
"136","casa",3
"137","cba",3
"138","contacto",3
"139","contención",3
"140","corruptos",3
"141","cualquiera",3
"142","daño",3
"143","dejar",3
"144","dejaste",3
"145","delincuencia",3
"146","delincuentes",3
"147","digo",3
"148","droga",3
"149","dura",3
"150","ecuador",3
"151","educación",3
"152","efectivos",3
"153","familiares",3
"154","familias",3
"155","favor",3
"156","fuerzas",3
"157","gusta",3
"158","hablen",3
"159","hacía",3
"160","haga",3
"161","honesto",3
"162","hospital",3
"163","hubiera",3
"164","humanos",3
"165","idea",3
"166","importa",3
"167","impresentable",3
"168","inservible",3
"169","inutil",3
"170","inútiles",3
"171","jefe",3
"172","joven",3
"173","jueces",3
"174","juicio",3
"175","lamentablemente",3
"176","luisito",3
"177","manos",3
"178","matar",3
"179","mental",3
"180","municipalidad",3
"181","opinologos",3
"182","paga",3
"183","pagamos",3
"184","pasó",3
"185","pecho",3
"186","pide",3
"187","piedra",3
"188","pobres",3
"189","político",3
"190","porq",3
"191","pregunto",3
"192","presos",3
"193","profesionales",3
"194","psicótico",3
"195","puesto",3
"196","quitarle",3
"197","renunciar",3
"198","ropa",3
"199","salir",3
"200","seguir",3
"201","situaciones",3
"202","t39.1997",3
"203","tanta",3
"204","taser",3
"205","tenes",3
"206","tenés",3
"207","tenor.co",3
"208","termina",3
"209","tienes",3
"210","totalmente",3
"211","trabajar",3
"212","trabajo",3
"213","tratan",3
"214","únicos",3
"215","vas",3
"216","ven",3
"217","vivir",3
"218","12",2
"219","13",2
"220","1ra",2
"221","24",2
"222","26itemid",2
"223","2fimages",2
"224","2ftenor.gif",2
"225","3",2
"226","actuan",2
"227","actúan",2
"228","adentro",2
"229","adicciones",2
"230","agente",2
