"","word","n"
"1","blas",25
"2","t.co",25
"3","gobernador",21
"4","correas",20
"5","policial",16
"6","romo",16
"7","schiaretti",14
"8","madre",13
"9","muerte",12
"10","jonathan",11
"11","jschiaretti",10
"12","estructural",9
"13","ministro",9
"14","mosquera",9
"15","policías",9
"16","problema",9
"17","apuntó",8
"18","responsables",8
"19","casos",7
"20","crimen",7
"21","disposición",7
"22","pidió",7
"23","abuso",6
"24","asesinato",6
"25","ce0g8dqjcu",6
"26","directamente",6
"27","falda",6
"28","falla",6
"29","fuerza",6
"30","habló",6
"31","justiciaporblas",6
"32","policía",6
"33","radiomitre",6
"34","seguridad",6
"35","solelaciar",6
"36","único",6
"37","actuación",5
"38","autoridad",5
"39","creer",5
"40","detención",5
"41","detuvo",5
"42","diferencia",5
"43","efectivos",5
"44","ihazllc2zp",5
"45","inmediata",5
"46","investigue",5
"47","jonatan",5
"48","minutos",5
"49","ocurrido",5
"50","policiales",5
"51","reciente",5
"52","refirió",5
"53","tuit",5
"54","últim",5
"55","violencia",5
"56","y4ynqisgmy",5
"57","c6yp1rd3qi",4
"58","caso",4
"59","córdoba",4
"60","culpables",4
"61","determinen",4
"62","falso",4
"63","formaron",4
"64","generaciones",4
"65","joaquin",4
"66","mata",4
"67","médico",4
"68","políticos",4
"69","sota",4
"70","tándem",4
"71","alfonso",3
"72","andan",3
"73","audiencia",3
"74","basta",3
"75","bueno",3
"76","conductas",3
"77","contactarme",3
"78","contarle",3
"79","copromete",3
"80","cordoba",3
"81","dando",3
"82","encubre",3
"83","gente",3
"84","gustaria",3
"85","ideas",3
"86","juan",3
"87","locos",3
"88","maneja",3
"89","moro",3
"90","nota",3
"91","paso",3
"92","policia",3
"93","ponga",3
"94","producto",3
"95","q.e.p.d",3
"96","querer",3
"97","recuerdo",3
"98","responsabilidad",3
"99","solitos",3
"100","sueltos",3
"101","vienen",3
"102","3",2
"103","aire",2
"104","blascorreas",2
"105","conversamos",2
"106","echar",2
"107","fbmwwiekw1",2
"108","jonatanromo",2
"109","laciar",2
"110","soledad",2
"111","verdadesafiladas",2
"112","9ctqwoqj0w",1
"113","actúa",1
"114","años",1
"115","bancor",1
"116","cayó",1
"117","comunes",1
"118","cuento",1
"119","cuidar",1
"120","deberian",1
"121","des",1
"122","detenido",1
"123","echas",1
"124","encubrimiento",1
"125","errores",1
"126","fto4fx2i51",1
"127","futuras",1
"128","jefe",1
"129","jhonatan",1
"130","jublasfemo",1
"131","justiciaporjoaquin",1
"132","llega",1
"133","mafia",1
"134","mamá",1
"135","mantiene",1
"136","necesariamente",1
"137","pagni",1
"138","paredes",1
"139","pasadas",1
"140","pidiendo",1
"141","policíahoy",1
"142","predicen",1
"143","presidencia",1
"144","pronunció",1
"145","responsable",1
"146","sacar",1
"147","santaellame",1
"148","tapando",1
"149","twitea",1
"150","vas",1
"151","vf1ccxjlca",1
"152","voto",1
"153","wl",1
