"","word","n"
"1","@solelaciar",14
"2","@jschiaretti",10
"3","@bettinamarengo",6
"4","@radiomitre",6
"5","@eldoce",3
"6","@aleperz7",2
"7","@continentalcba",2
"8","@policiacbaof",2
"9","@aiertamundiai",1
"10","@alfonmosquera",1
"11","@belgrano",1
"12","@cadena3com",1
"13","@correa68456120",1
"14","@dariogomezporta",1
"15","@dbapollitoright",1
"16","@eldestapeweb",1
"17","@fcocenteno",1
"18","@ivoox",1
"19","@juanfedericocba",1
"20","@jublasfemo",1
"21","@lapopupiratacab",1
"22","@lbdtw",1
"23","@leoguevara80",1
"24","@leorussi6",1
"25","@masf28",1
"26","@miguelamotta",1
"27","@paldetw",1
"28","@piratastuiteros",1
"29","@radiomitrecba",1
"30","@santaellame",1
"31","@tanococcimiglio",1
